borough_ord,age_ord,folplc_ord,percent,dur,ID,traj,fit,se.fit
Bolton,18-25,apical,20,0.1651312202852615,187_TRA_M_18,3,1449.5643880518378,88.60555002098741
Bury,18-25,apical,20,0.1651312202852615,187_TRA_M_18,3,1440.2796640526574,95.83729082069635
Manchester,18-25,apical,20,0.1651312202852615,187_TRA_M_18,3,1361.0651154754873,89.61571440640027
Oldham,18-25,apical,20,0.1651312202852615,187_TRA_M_18,3,1431.582351050954,90.33915000835236
Rochdale,18-25,apical,20,0.1651312202852615,187_TRA_M_18,3,1483.1660799083452,90.27695061709005
Salford,18-25,apical,20,0.1651312202852615,187_TRA_M_18,3,1351.540480776892,92.68479410075989
Stockport,18-25,apical,20,0.1651312202852615,187_TRA_M_18,3,1422.0384702568826,90.59056779172911
Tameside,18-25,apical,20,0.1651312202852615,187_TRA_M_18,3,1449.674277330239,92.95388547815355
Trafford,18-25,apical,20,0.1651312202852615,187_TRA_M_18,3,1368.217774469089,92.65355344713245
Wigan,18-25,apical,20,0.1651312202852615,187_TRA_M_18,3,1393.162963637981,89.94639167379756
Bolton,26-45,apical,20,0.1651312202852615,187_TRA_M_18,3,1523.4449182615178,87.12807438892028
Bury,26-45,apical,20,0.1651312202852615,187_TRA_M_18,3,1514.1601942623374,93.820625803639075
Manchester,26-45,apical,20,0.1651312202852615,187_TRA_M_18,3,1434.9456456851674,87.33424542028482
Oldham,26-45,apical,20,0.1651312202852615,187_TRA_M_18,3,1505.462881260634,87.9705287499612
Rochdale,26-45,apical,20,0.1651312202852615,187_TRA_M_18,3,1557.0466101180252,87.69925650219304
Salford,26-45,apical,20,0.1651312202852615,187_TRA_M_18,3,1425.4210109865721,89.59119953507259
Stockport,26-45,apical,20,0.1651312202852615,187_TRA_M_18,3,1495.9190004665627,90.16656519457943
Tameside,26-45,apical,20,0.1651312202852615,187_TRA_M_18,3,1523.554807539919,89.31990869772964
Trafford,26-45,apical,20,0.1651312202852615,187_TRA_M_18,3,1442.098304678769,90.34201674110899
Wigan,26-45,apical,20,0.1651312202852615,187_TRA_M_18,3,1467.043493847661,88.79402353626483
Bolton,46-65,apical,20,0.1651312202852615,187_TRA_M_18,3,1588.6049295955381,87.23800875823476
Bury,46-65,apical,20,0.1651312202852615,187_TRA_M_18,3,1579.3202055963575,92.8232634217821
Manchester,46-65,apical,20,0.1651312202852615,187_TRA_M_18,3,1500.1056570191877,86.98891066210457
Oldham,46-65,apical,20,0.1651312202852615,187_TRA_M_18,3,1570.622892594654,88.67765351956082
Rochdale,46-65,apical,20,0.1651312202852615,187_TRA_M_18,3,1622.2066214520455,87.40805749126724
Salford,46-65,apical,20,0.1651312202852615,187_TRA_M_18,3,1490.5810223205922,89.0267472802022
Stockport,46-65,apical,20,0.1651312202852615,187_TRA_M_18,3,1561.0790118005827,89.36194005604594
Tameside,46-65,apical,20,0.1651312202852615,187_TRA_M_18,3,1588.7148188739393,89.86967527728181
Trafford,46-65,apical,20,0.1651312202852615,187_TRA_M_18,3,1507.258316012789,89.50075587798466
Wigan,46-65,apical,20,0.1651312202852615,187_TRA_M_18,3,1532.203505181681,87.57386962803692
Bolton,66+,apical,20,0.1651312202852615,187_TRA_M_18,3,1633.6971564686605,88.41495747069065
Bury,66+,apical,20,0.1651312202852615,187_TRA_M_18,3,1624.41243246948,93.9031011372395
Manchester,66+,apical,20,0.1651312202852615,187_TRA_M_18,3,1545.19788389231,88.86297478494323
Oldham,66+,apical,20,0.1651312202852615,187_TRA_M_18,3,1615.7151194677767,88.87956847692668
Rochdale,66+,apical,20,0.1651312202852615,187_TRA_M_18,3,1667.298848325168,88.32210782817864
Salford,66+,apical,20,0.1651312202852615,187_TRA_M_18,3,1535.6732491937148,90.7241227822746
Stockport,66+,apical,20,0.1651312202852615,187_TRA_M_18,3,1606.1712386737054,91.14908158026067
Tameside,66+,apical,20,0.1651312202852615,187_TRA_M_18,3,1633.8070457470617,90.77702849222818
Trafford,66+,apical,20,0.1651312202852615,187_TRA_M_18,3,1552.3505428859116,92.01346523294238
Wigan,66+,apical,20,0.1651312202852615,187_TRA_M_18,3,1577.2957320548037,89.63730083018129
Bolton,18-25,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1450.6022118576686,84.51481074878411
Bury,18-25,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1438.3056923732747,91.67472549374008
Manchester,18-25,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1360.6876328829558,85.47502086703423
Oldham,18-25,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1430.68031417502,86.23430890641066
Rochdale,18-25,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1483.6093281847907,86.13606242316185
Salford,18-25,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1349.999857519017,88.4812506853084
Stockport,18-25,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1421.703558698263,86.41878932350812
Tameside,18-25,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1447.9637218295895,88.82274463049568
Trafford,18-25,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1366.4632939921316,88.52279353751297
Wigan,18-25,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1392.4038519309722,85.78312190272017
Bolton,26-45,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1524.5938906795952,83.04975052287159
